Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
The secret of Cliff Castle,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-secret-of-Cliff-Castle.jpg,20-4,057,Enid Blyton,Sách truyện thiếu nhi,10-12 tuổi,Award Childrens Books,"As soon as Peter, Pam and their cousin Brock hear about the strange castle by the sea they are determined to solve its mystery, but an unknown enemy awaits them in the castle's secret and ghostly passages.",10-12 tuổi
The story of castles,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-story-of-castles.jpg,7-2,080,Lesley Sims,Sách truyện thiếu nhi,7-9 tuổi,Usborne,"Outlines the development of medieval castles, and describes what life was like for the people living in them.",7-9 tuổi
The story of chocolate,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-story-of-chocolate.jpg,7-5,061,Katie Daynes,Sách truyện thiếu nhi,7-9 tuổi,Usborne,"The fascinating history of chocolate, from its origins in the rainforests of Central America to shops and factories everywhere. Written as part of the Usborne Young Reading Programme, designed for children just beginning to read.",7-9 tuổi
The sweetest spring,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-sweetest-spring.jpg,3-5,016,Disney,Sách truyện thiếu nhi,3-6 tuổi,Disney,"Share the sweetness of spring with Cinderella, Ariel, and all the Disney Princesses in this fun and bouncy Step 2 reader. This delightful story with bright and beautiful illustrations will have budding young princess fans blossoming into wonderful readers.",3-6 tuổi
The wizard of Oz,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-wizard-of-Oz.jpg,20-4,059,L. Frank Baum,Sách truyện thiếu nhi,10-12 tuổi,Penguin Popular Classics,"Dorothy thinks she's lost forever when a tornado whirls her and her dog, Toto, into a magical world. To get home, she must find the wonderful wizard in the Emerald City of Oz. On the way she meets the Scarecrow, the Tin Woodman and the Cowardly Lion. But the Wicked Witch of the West has her own plans for the new arrival... will Dorothy ever see Kansas again?",10-12 tuổi
The world on her knees,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/The-world-on-her-knees.jpg,3-5,008,R. Chandran,Sách truyện thiếu nhi,3-6 tuổi,J.J. Pub.,"This is a story of a little baby girl wondering what the view is like from her parents' perspective when she has yet to learn how to stand and is still crawling on her knees, is suddenly entrusted with a hero's task.",3-6 tuổi
This is my dance,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/This-is-my-dance.jpg,3-5,014,Susan James,Sách truyện thiếu nhi,3-6 tuổi,"Kindermusik International
",Mama bear and baby dance together. Personalize the book with your baby's name.,3-6 tuổi
Thomas and the school trip,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Thomas-and-the-school-trip.jpg,7-5,064,Random House,Sách truyện thiếu nhi,7-9 tuổi,Random House,That cheeky blue engine refuses to be sidetracked from his goal of taking schoolchildren home after their visit to the train yard--despite a host of obstacles along the way.  ,7-9 tuổi
Too many books,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Too-many-books.jpg,7-5,072,Gilles Tibo,Sách truyện thiếu nhi,7-9 tuổi,Scholastic ,"Every time Nicolas tries to do something, people give him a book. Now, he has so many books that tell him what to do, how to do it and why to do it that he can't stand them anymore! But could books also be fun?",7-9 tuổi
Two of a kind diaries: calling all boys,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Two-of-a-kind-diaries-calling-all-boys.jpg,19-4,061,Megan Stine,Sách truyện thiếu nhi,10-12 tuổi,Harper Entertainment ,"Mary-Kate gets a beautiful beaded necklace from her Secret Santa. She thinks it's from Carter, a really cute boy in one of her classes. Could Carter have a crush on her? Ashley gets the worst presents ever from her Secret Santa - stinky gym socks and a half-eaten sandwich! Her Secret Santa must really not like her. And Ashley has the feeling it's one of her friends!",10-12 tuổi
Two of a kind diaries: winner takes all,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Two-of-a-kind-diaries-winner-takes-all.jpg,19-4,060,Megan Stine,Sách truyện thiếu nhi,10-12 tuổi,Harper Entertainment ,"Dear Diary, Today was the worst day of my life. I tried out for the White Oak softball team, and it was a total disaster. I couldn't do anything right. I never even made it to the first base. I missed a fly ball. And I struck out - six times in a row!

But that's not the worst thing. Ashley is the new gossip columnist for the school paper - and she wrote something about me. Something I didn't want anyone else to know!",10-12 tuổi
Two of a kind: let's party,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Two-of-a-kind-let_s-party.jpg,19-2,060,Megan Stine,Sách truyện thiếu nhi,10-12 tuổi,Harper Entertainment ,"Ashley has a great idea! She's going to give a surprise party for her friend Jennifer. But Ashley gets a surprise, too - when she finds out that Mary - Kate is giving another party for her best friend Amanda on the same night!

But the biggest shocker of all is the one Dad has for both of the girls - one that's going to change their lives big-time!",10-12 tuổi
"Well, really, Mr Twiddle",https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Well-really-Mr-Twiddle.jpg,19-2,065,Enid Blyton,Sách truyện thiếu nhi,10-12 tuổi,Bloomsbury Publishing,"Mr Twiddle is a kind old man who means to do his best, but he is often forgetful, a bit lazy and sometimes very silly. Poor Mrs Twiddle is driven to distraction by his muddles.

This time he goes out for a late night walk with the dog, but ends up taking a goose home instead!",10-12 tuổi
What is thanksgiving?,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/What-is-Thanksgiving.jpg,3-5,010,Harriet Ziefert,Sách truyện thiếu nhi,3-6 tuổi,HarperFestival;,"By helping her parents prepare a huge Thanksgiving feast for a large and loving extended family, Little Mouse gets a hands-on introduction to the holiday - and so will young readers as they lift the flaps to join in the fun of the mouse family's Thanksgiving celebration.
",3-6 tuổi
What makes a rainbow,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/What-makes-a-rainbow.jpg,3-5,013,Betty Schwartz,Sách truyện thiếu nhi,3-6 tuổi,Piggy Toes Pr,A rainbow of ribbons magically appear when you open the pages of this innovative book! Toddlers will love listening to the charming story and seeing a different colored ribbon with the turn of each page. The last page is sure to delight with all the colors of the rainbow. What a fun way to learn colors!,3-6 tuổi
What's the Earth made of,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/What_s-the-Earth-made-of.jpg,26-6,071,Usborne,Sách tham khảo,Hành tinh của chúng ta,Usborne Publishing Ltd,"Each book in this bright, exciting series for young children introduces an aspect of the natural or technological world, providing a wealth of fascinating information. The series explores a wide variety of subjects such as what makes your tummy rumble, how a car is made, why flamingos are pink and how earthquakes happen. Where it is appropriate, there are safe and easy experiments to help clarify explanations.

The simple text and detailed illustrations combine to answer the question of each title in clear, step-by-step stages. Young children who are just beginning to read will enjoy sharing these books with an adult, while more confident readers will have fun discovering for themselves.",Hành tinh của chúng ta
Where's Wally: the totally essential travel collection,https://lotuscommunity.org.vn/wp-content/uploads/2022/10/Where_s-Wally-the-totally-essential-travel-collection.jpg,19-2,061,Martin Handford,Sách truyện thiếu nhi,10-12 tuổi,Walker Books,"All the wondrous Wally worlds in one, with gold foiled stripes on the cover, an elastic close and six postcards to colour in and send to your friends. Wherever you're going, however you're travelling – join the spectacular search for Wally. Wow! Have YOU found Wally yet?",10-12 tuổi
