S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
5582,Me want pet,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/me-want-pet.jpg,4-3,025,Tammi Sauer,Sách truyện thiếu nhi,3-6 tuổi,Simon & Schuster,"Cave Boy has lots of things. Rocks. Sticks. A club. But no pet! Cave Boy decides he must have a pet, but his parents object. He brings home animal after animal in hopes of overcoming his parents’ steadfast resistance, but his attempts are unsuccessful—until he finds a Dodo bird that is literally on the verge of extinction. And in a twist ending on a classic concept, Cave Boy and his family discover it’s worthwhile to have animal friends around.

With snappy text that is short, fun, and young, Me Want Pet! makes for an ideal read-aloud for the milk-and-cookies set. ",3-6 tuổi
5583,Me want pet,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/me-want-pet.jpg,5-2,031,Tammi Sauer,Sách truyện thiếu nhi,3-6 tuổi,Simon & Schuster,"Cave Boy has lots of things. Rocks. Sticks. A club. But no pet! Cave Boy decides he must have a pet, but his parents object. He brings home animal after animal in hopes of overcoming his parents’ steadfast resistance, but his attempts are unsuccessful—until he finds a Dodo bird that is literally on the verge of extinction. And in a twist ending on a classic concept, Cave Boy and his family discover it’s worthwhile to have animal friends around.

With snappy text that is short, fun, and young, Me Want Pet! makes for an ideal read-aloud for the milk-and-cookies set. ",3-6 tuổi
5627,Megan has to move,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Megan-has-to-move.jpg,4-3,042,Jacqueline Wolfe,Sách truyện thiếu nhi,3-6 tuổi,Picture Window Books,"Megan's dad got a new job. Now Megan has to move to a new town. Will Megan like her new house, new school, and new neighbors?",3-6 tuổi
5628,Megan has to move,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Megan-has-to-move.jpg,6-2,046,Jacqueline Wolfe,Sách truyện thiếu nhi,3-6 tuổi,Picture Window Books,"Megan's dad got a new job. Now Megan has to move to a new town. Will Megan like her new house, new school, and new neighbors?",3-6 tuổi
5629,Megan has to move,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Megan-has-to-move.jpg,6-3,001,Jacqueline Wolfe,Sách truyện thiếu nhi,3-6 tuổi,Picture Window Books,"Megan's dad got a new job. Now Megan has to move to a new town. Will Megan like her new house, new school, and new neighbors?",3-6 tuổi
5719,Mine,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Mine.jpg,5-4,022,Rachel Bright,Sách truyện thiếu nhi,3-6 tuổi,Penguin Random House Children's UK,"""That's my bunny!"" ""NO, that's my bunny!"" Oh dear. How difficult it is to share when there's only ONE beloved Funny Bunny. Luckily for twins, Fifi and Frankie, Granny is on hand to show them a way to play together nicely that keeps everyone, including Funny Bunny, happy.",3-6 tuổi
6065,My adventure island,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/My-adventure-island.jpg,6-4,009,Timothy Knapman,Sách truyện thiếu nhi,3-6 tuổi,Scholastic,"Here on my island, I do as I please. I splash in the puddles and climb all the trees. I swing through the branches, I fly through the sky, and end up face down in a MASSIVE mud pie! Your adventure island is a magical place where anything can happen...With a bit of imagination.",3-6 tuổi
6113,My day,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/My-day.jpg,5-4,053,Lynette Thomas,Sách truyện thiếu nhi,3-6 tuổi,"Bookaburra Books, Singapore","What can you see from your balcony, through your window and outside your gate?

Can you see … a school bus? the road sweeper? the karang guni man? What else happens in your day at home?

A book to stimulate conversation and language development in the preschool child.

",3-6 tuổi
6150,My friend rabbit,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/my-friend-rabbit.jpg,4-5,013,Eric Rohmann,Sách truyện thiếu nhi,3-6 tuổi,Square Fish,"When Mouse lets his best friend, Rabbit, play with his brand-new airplane, trouble isn't far behind. From Caldecott Honor award winner Eric Rohmann comes a brand-new picture book about friends and toys and trouble, illustrated in robust, expressive prints.",3-6 tuổi
6172,My math toolbox,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/my-math-toolbox.jpg,6-1,037,Nancy Allen,Sách truyện thiếu nhi,3-6 tuổi,Rourke Educational Media,"My math toolbox selects and uses appropriate tools for given measurement situations (E.G., Rulers for length, measuring cups for capacity)",3-6 tuổi
6229,My teacher for president,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/my-teacher-for-president.jpg,4-5,011,Kay Winters,Sách truyện thiếu nhi,3-6 tuổi,Penguin Putnam Inc,"Just in time for election season, a nomination teachers and students alike will endorse.

Oliver has been learning about the president's job, and his teacher would be the perfect candidate. She loves white houses, she's used to being followed everywhere, she attends lots of meetings, she finds jobs for people, and she believes in peace. Images of Oliver's teacher depicted during a typical school day are contrasted with scenes of his heroine carrying out presidential duties.",3-6 tuổi
6509,Olive and the big secret,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/olive-and-the-big-secret.jpg,6-1,034,Tor Freeman,Sách truyện thiếu nhi,Age 7 - 9 ,Templar,"Olive learns the hard way that keeping secrets is tough, and telling them can make for a whole lot of trouble!

When Molly shares a secret with Olive, the urge to tell is just too great! Olive tells Joe who tells Matt who tells Lola. But Lola is best friends with Molly. Uh-oh, the secret is out, and Olive is in for it!",3-6 tuổi
6538,Olivia saves the circus,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/olivia-saves-the-circus.jpg,4-5,002,Ian Falconer,Sách truyện thiếu nhi,3-6 tuổi,Atheneum Books for Young Readers,"Step into the ring with Olivia, where the lights are dim, the color soft, and a little girl's imagination is the main attraction.

Olivia remembers her trip to the circus very well. The performers were out sick, so she had to do everything. She rode on a unicycle, jumped on a trampoline, juggled five balls, tamed lions and even flew through the air. ",3-6 tuổi
6566,On the farm,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/On-the-farm.jpg,4-5,007,Matt Mitter,Sách truyện thiếu nhi,3-6 tuổi,Studio Fun International,"Join the Fisher-Price Little People as they visit the farm and learn about shapes, colors, animals and more in this interactive board book with more than 50 flaps to lift!",3-6 tuổi
6570,On the night you were born,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/on-the-night-you-were-born.jpg,5-2,059,Nancy Tillman,Sách truyện thiếu nhi,3-6 tuổi,St Martin's Press,"A beautiful and poignant celebration of the birth--and worth--of every child. Now in board book format! On the night you were born, you brought wonder and magic to the world. The moon stayed up till morning. Polar bears danced. Here is a book that celebrates the one and only ever you! Now available in its entirety in board book format, Nancy Tillman's New York Times-bestselling masterpiece is perfect for acknowledging the special people in our lives that they are loved.",3-6 tuổi
6597,One nighttime sea,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/One-nighttime-sea.jpg,5-4,004,Deborah Lee Rose,Sách truyện thiếu nhi,3-6 tuổi,Scholastic Press,"From 1 to 10 and back again, dragonfish, morays, and other nighttime sea creatures fill this stunning counting book, featuring lush cut-paper art and an infectious, informative rhyming text. All night long, while you are asleep, millions of sea creatures move through the deep...",3-6 tuổi
6610,"One, two, flea",https://lotuscommunity.org.vn/wp-content/uploads/2021/05/One-two-flea.jpg,5-4,015,Allan Ahlberg,Sách truyện thiếu nhi,3-6 tuổi,Candlewick Press,"READ AND SHARE is a unique first library for parents and children that helps build early readers’ confidence. Grouped in four progressive levels, Read and Share books - available individually for the first time - are specially selected for qualities that encourage literacy skills and a love of reading.",3-6 tuổi
6651,Otter and Owl and the big ah-choo,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Otter-and-Owl-and-the-big-ah-choo.jpg,5-2,037,Crystal Bowman,Sách truyện thiếu nhi,3-6 tuổi,Zonderkidz,"Kids learn about the importance of friendship in this level two book. In Otter and Owl and the Big Ah-choo! it appears that Otter is allergic—to Owl! Owl believes that they can no longer be friends, but Otter discovers the real cause of his sneezing.",3-6 tuổi
6726,Parsnip,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/parsnip.jpg,5-4,054,Sue Porter,Sách truyện thiếu nhi,3-6 tuổi,Mathew Price,"Simple lift-the-flaps on every page add an extra dimension to this charming, warmhearted adventure story.",3-6 tuổi
6792,Peppa Pig: going boating,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Peppa-Pig-going-boating.jpg,4-5,010,Geraldine Taylor,Sách truyện thiếu nhi,3-6 tuổi,Ladybird,"Peppa is going boating with her family. Find out who else goes with them, and who is the best at boating! Read it yourself with Ladybird is one of Ladybird's best-selling reading series. For over thirty-five years it has helped young children who are learning to read develop and improve their reading skills.",3-6 tuổi
6794,Percy the postman,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Percy-the-postman.jpg,6-3,048,Sue Graves,Sách truyện thiếu nhi,3-6 tuổi,Hachette Children's Group,"A fun, rhyming story about a postman who never gets any post of his own. Can the children make his wish come true?",3-6 tuổi
6836,Pie in the sky,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/pie-in-the-sky.jpg,6-2,051,Christine Moorcroft,Sách truyện thiếu nhi,3-6 tuổi,Evans Publishing Group,"""One fine day, Simon the Pieman and his wife, Myra, went for a ride on their bikes. Simon had his eyes on the sky. He spied something shiny way up high."" What is this mysterious object? Simon sets off to find out!",3-6 tuổi
6840,Pig gets stuck,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/pig-gets-stuck.jpg,5-4,007,Heather Amery,Sách truyện thiếu nhi,3-6 tuổi,Usborne Publishing Ltd,"Farmyard Tales are delightful stories of the people and animals on Apple Tree Farm. Each story has a simple text to encourage young children to read themselves, and a longer text that children enjoy listening to - and a duck to find on each page. Ages 3+.",3-6 tuổi
6856,Pigs to the rescue,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Pigs-to-the-rescue.jpg,6-4,051,John Himmelman,Sách truyện thiếu nhi,3-6 tuổi,Henry Holt & Company,"Farmer Greenstalk and his family have the darnedest luck. Broken-down tractors, kites stuck in trees--they're always having problems! It's a good thing they have such helpful farm animals on hand.",3-6 tuổi
6894,"Planes, cars, trucks, and trains",https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Planes-cars-trucks-and-trains.jpg,4-5,009,Matt Mitter,Sách truyện thiếu nhi,3-6 tuổi,Studio Fun Intl (US),"A whimsical tribute to different forms of transportation features Little People characters on interactive spreads that use engaging lift-flaps to promote early learning concepts, including counting, matching and color recognition.",3-6 tuổi
6978,Poppy's pancake day,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Poppy_s-pancake-day.jpg,5-3,053,Sue Graves,Sách truyện thiếu nhi,3-6 tuổi,Sea Publications,"Dad and Poppy try to make a pancake for Mom, who is sick in bed.",3-6 tuổi
6998,Power cut,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Power-cut.png,6-1,035,Sowmya Rajendran,Sách truyện thiếu nhi,3-6 tuổi,Tulika Publishers,"Inspired by the memories of her childhood spent in Perambur, the author takes you through an enjoyable experience in the dark.  It all starts with a Power cut!  Mother lights a candle and then there is no stopping to the shadow play. 

A highly imaginative book, its easy style is supported by childlike but lucid illustrations, enhanced by paper cut-outs. Emphasizing the theme, the pictures are predominantly black and white and but the dashes of colour make the book aesthetically appealing and would certainly grab the child’s attention. 

The use of words like MIAAAOOW, HISSSSSS and GRRRRRRRRR alongwith the shadow play make the story highly interactive.  Parents would love reading this book to their children, as it offers a lot of scope to do things together.  

It would be a good idea to turn off the lights and read this book to your child by candle light, to make it even more dramatic!",3-6 tuổi
6999,Power cut,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Power-cut.png,6-1,036,Sowmya Rajendran,Sách truyện thiếu nhi,3-6 tuổi,Tulika Publishers,"Inspired by the memories of her childhood spent in Perambur, the author takes you through an enjoyable experience in the dark.  It all starts with a Power cut!  Mother lights a candle and then there is no stopping to the shadow play. 

A highly imaginative book, its easy style is supported by childlike but lucid illustrations, enhanced by paper cut-outs. Emphasizing the theme, the pictures are predominantly black and white and but the dashes of colour make the book aesthetically appealing and would certainly grab the child’s attention. 

The use of words like MIAAAOOW, HISSSSSS and GRRRRRRRRR alongwith the shadow play make the story highly interactive.  Parents would love reading this book to their children, as it offers a lot of scope to do things together.  

It would be a good idea to turn off the lights and read this book to your child by candle light, to make it even more dramatic!",3-6 tuổi
7106,Pup and Hound at sea,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Pup-and-Hound-at-sea.jpg,5-2,030,Susan Hood,Sách truyện thiếu nhi,3-6 tuổi,Kids Can Press,"It's off to sea with Pup and Hound, and there's rough water ahead. Will this crew of two ever get back on dry land? This Level 1 first reader contains short stories, simple sentences, easy vocabulary, simple visual clues and lots of repetition.",3-6 tuổi
7265,Recycled,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Recycled.jpg,6-4,049,Jillian Powell,Sách truyện thiếu nhi,3-6 tuổi,Picture Window Books,Miss Drew's efforts to teach her class about recycling are very successful. ,3-6 tuổi
7272,Red Riding Hood,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/red-riding-hood.jpg,4-3,057,Fran Hunia,Sách truyện thiếu nhi,3-6 tuổi,Ladybird,"This beautiful Ladybird Tales ebook edition of Little Red Riding Hood is a perfect first illustrated introduction to this classic fairy tale for young readers from 3+. The tale is sensitively retold, retaining all the key parts of the story beginning with Little Red Riding Hood heading to her grandmother's house, only to meet with the big bad wolf!",3-6 tuổi
7348,Robby in the river,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Robby-in-the-river.jpg,4-2,009,Judy Waite,Sách truyện thiếu nhi,3-6 tuổi,Pearson Education Limited,"Part of the Lighthouse collection, an engaging fiction and non-fiction series of readers carefully levelled to ensure gradual progression for Foundation and Key Stage 1 children.",3-6 tuổi
7411,Rude Ralph,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Rude-Ralph.jpg,6-3,055,Justine Fontes,Sách truyện thiếu nhi,3-6 tuổi,Children's Pres,"Rude Ralph only learns to be polite after no one will play with him, in a book that also includes suggested learning activities.",3-6 tuổi
7549,"Scat, cat",https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Scat-cat.jpg,6-2,026,Alyssa Satin Capucilli,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"No one wants the small striped cat who is lost. “Scat, cat!” says the dog, the bird, the barber, the baker, the bus driver, the duck, the frog, the goose, the owl, the bat, and even the skunk.

So the cat walks and walks until he finds a little house where there is a little boy that does not say, “Scat, cat!” In an ending twist, the cat discovers he is home. Young readers will learn the names of animals and occupations as well as useful vocabulary in this sweet and simple text.

This My First I Can Read Book is perfect for shared reading with toddlers and very young children. Basic language, word repetition, and whimsical illustrations make this book just right for the emergent reader.",3-6 tuổi
7697,Shampoodle,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Shampoodle.jpg,5-3,033,Joan Holub,Sách truyện thiếu nhi,3-6 tuổi,Random House Books for Young Readers,"It's picture day at the dog park. But before the first photo can be taken, an exuberant pack of pups needs a bit of grooming. So they’re off to Shampoodle, the local pet salon, where the eager dogs simply cannot sit still. And when some curious cats stop by, things go from messy to mayhem. Shampoodle is perfect for animal lovers and children who are just starting to read on their own, taking their cues from lively art and bubbly, rhymed text.",3-6 tuổi
7698,Shampoodle,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Shampoodle.jpg,6-2,027,Joan Holub,Sách truyện thiếu nhi,3-6 tuổi,Random House Books for Young Readers,"It's picture day at the dog park. But before the first photo can be taken, an exuberant pack of pups needs a bit of grooming. So they’re off to Shampoodle, the local pet salon, where the eager dogs simply cannot sit still. And when some curious cats stop by, things go from messy to mayhem. Shampoodle is perfect for animal lovers and children who are just starting to read on their own, taking their cues from lively art and bubbly, rhymed text.",3-6 tuổi
7722,Sheep take a hike,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Sheep-take-a-hike.jpg,4-5,015,Nancy Shaw,Sách truyện thiếu nhi,3-6 tuổi,HMH Books for Young Readers,"That fun flock is raring for a rugged hiking adventure. Rapid rhythm, rhyme, and colorful illustrations make this a perfect introduction to poetry.",3-6 tuổi
7862,Skimper scamper,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Skimper-scamper.jpg,5-2,045,Jeff Newell,Sách truyện thiếu nhi,3-6 tuổi,HMH Books for Young Readers,"Lisa is supposed to be quietly coloring. But what can she do when the mouse, the cat, and the dog she's drawn leap off the page and start making a big mess?",3-6 tuổi
7949,Snoopy and friends,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Snoopy-and-friends.jpg,5-4,061,Charles M. Schulz,Sách truyện thiếu nhi,3-6 tuổi,Simon Spotlight,"Get to know the whole Peanuts gang in this sweet board book shaped like Snoopy’s doghouse!

The Peanuts gang bursts onto the big screen November 6, 2015 in an all new feature film from Twentieth Century Fox!

Snoopy, the world’s most famous dog, has lots of friends! There’s Woodstock, his feathery sidekick, the trusty Beagle Scouts, his owner, Charlie Brown, and so many more. Join Snoopy inside his doghouse and meet them all!",3-6 tuổi
7950,Snoopy and friends,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Snoopy-and-friends.jpg,5-4,062,Charles M. Schulz,Sách truyện thiếu nhi,3-6 tuổi,Simon Spotlight,"Get to know the whole Peanuts gang in this sweet board book shaped like Snoopy’s doghouse!

The Peanuts gang bursts onto the big screen November 6, 2015 in an all new feature film from Twentieth Century Fox!

Snoopy, the world’s most famous dog, has lots of friends! There’s Woodstock, his feathery sidekick, the trusty Beagle Scouts, his owner, Charlie Brown, and so many more. Join Snoopy inside his doghouse and meet them all!",3-6 tuổi
7951,Snoopy and friends,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Snoopy-and-friends.jpg,5-4,063,Charles M. Schulz,Sách truyện thiếu nhi,3-6 tuổi,Simon Spotlight,"Get to know the whole Peanuts gang in this sweet board book shaped like Snoopy’s doghouse!

The Peanuts gang bursts onto the big screen November 6, 2015 in an all new feature film from Twentieth Century Fox!

Snoopy, the world’s most famous dog, has lots of friends! There’s Woodstock, his feathery sidekick, the trusty Beagle Scouts, his owner, Charlie Brown, and so many more. Join Snoopy inside his doghouse and meet them all!",3-6 tuổi
7962,Snow games,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/snow-games.jpg,5-1,035,Anastasia Suen,Sách truyện thiếu nhi,3-6 tuổi,Stone Arch Books,"Robot and Rico use sleds, skiis, tubes, and more to enjoy the new snow.",3-6 tuổi
7981,Soccer song,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Soccer-song.jpg,5-3,041,Patricia Reilly Giff,Sách truyện thiếu nhi,3-6 tuổi,HOUGHTON MIFFLIN,"Jill has long arms and strong hands. And when it comes to playing soccer, she knows how to use her head!",3-6 tuổi
8080,Splat the cat sings flat,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Splat-the-cat-sings-flat.jpg,6-2,040,Rob Scotton,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"When Splat's teacher announces that the whole class is going to sing for their parents on Parents' Night, Splat is worried: he's afraid to speak in public, much less sing in public!

In fact, he's so nervous he can't even manage a simple ""meow."" What will it take for Splat to overcome his stage fright and make his parents proud?",3-6 tuổi
8081,Splat the cat sings flat,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Splat-the-cat-sings-flat.jpg,6-4,040,Rob Scotton,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"When Splat's teacher announces that the whole class is going to sing for their parents on Parents' Night, Splat is worried: he's afraid to speak in public, much less sing in public!

In fact, he's so nervous he can't even manage a simple ""meow."" What will it take for Splat to overcome his stage fright and make his parents proud?",3-6 tuổi
8607,The ball book,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-ball-book.jpg,6-3,006,Margaret Hillert,Sách truyện thiếu nhi,3-6 tuổi,Modern Curriculum Press,People play a variety of games involving balls on the big ball that is Earth.,3-6 tuổi
8647,The Berenstain Bears and mama for mayor,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-Berenstain-Bears-and-mama-for-mayor.jpg,5-1,034,Jan Berenstain,Sách truyện thiếu nhi,3-6 tuổi,HARPERCOLLINS,"When Mama Bear runs for mayor on a platform that resolves to fix roads, clean trash and replace broken streetlights, her campaign is compromised by Bear County voters who argue that she cannot fulfill her promises.",3-6 tuổi
8723,The bookstore ghost,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-bookstore-ghost.jpg,5-2,036,Barbara Maitland,Sách truyện thiếu nhi,3-6 tuổi,Scholastic,"This easy-to-read ghost story is just the thing for future mystery lovers. Mr. Brown has a bookstore full of spooky ghost books. But even though he has a cat, he also has mice in his store. No customers will come in, and Mr. Brown gives his cat an order: Get rid of the miceor else. Mr. Brown's ingenious and kindhearted cat comes up with a spectacular plan that just might work--with a little help from some ghost-mice. The text in this funny mystery is lively, and the big, full-color pictures by popular illustrator Nadine Bernard Westcott are sweetly amusing and sly. For Halloween or any time, this is a great beginning reader for kids who love ghost stories. Barbara Maitland is the author of The Bear Who Didn't Like Honey. Nadine Bernard Westcott is the creator of over thirty picture books; she also designs a popular line of greeting cards.",3-6 tuổi
8781,The case of the climbing cat,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-case-of-the-climbing-cat.jpg,5-2,047,Cynthia Rylant,Sách truyện thiếu nhi,3-6 tuổi,Greenwillow Books,"Deep in the heart of the city. . .

Miss Nancy saw somebody run off with her binoculars. . .Where did the thief go? And will she get her binoculars back?

This sounds like a case for the High-Rise Private Eyes--Case #002, to be exact, The Case of the Climbing Cat

Because no mystery is too mysterious, no puzzle to puzzling, no crime too criminal, no trouble too troubling for ace detectives and very best friends Bunny Brown and Jack Jones.",3-6 tuổi
8789,The case of the puzzling possum,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-case-of-the-puzzling-possum.jpg,5-2,046,Cynthia Rylant,Sách truyện thiếu nhi,3-6 tuổi,Greenwillow Books,"The Beat Goes On

One day, the trombone is missing from Mr. Riley's music store. The next day, it's back. Then it's gone again. Who could be taking it -- and why?

This sounds like a case for the High-Rise Private Eyes -- Bunny Brown and Jack Jones, ace detectives and very best friends!",3-6 tuổi
8793,The cat food mystery,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-cat-food-mystery.jpg,5-1,036,Gwendolyn Hooks,Sách truyện thiếu nhi,3-6 tuổi,Stone Arch Books,"When Kayla discovers that something is eating Daisy's cat food, she immediately calls the Pet Club to action. They grab their pets and start to gather clues. Will they solve the case of the cat food thief?",3-6 tuổi
8809,The chicken and the egg,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/the-chicken-and-the-egg.jpg,4-5,021,Allan Plenderleith,Sách truyện thiếu nhi,3-6 tuổi,Plendy Publishing Ltd,"A beautiful picture book for children by Allan Plenderleith, the author of The Smelly Sprout, The Boy Giant and Princess Chocolate.",3-6 tuổi
9194,The hare and the tortoise with the sick lion,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-hare-and-the-tortoise-with-the-sick-lion.jpg,4-2,028,Val Biro,Sách truyện thiếu nhi,3-6 tuổi,Award Publications Ltd,"Designed to build reading confidence, this series, features large, clear, simple text, reinforced by Val Biro's humorous illustrations. Each book contains two stories. For ages 4 and up. Features large type.",3-6 tuổi
9254,The important things,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-important-things.jpg,5-3,019,Peter Carnavas,Sách truyện thiếu nhi,3-6 tuổi, Children's Publishing House,"Christopher’s father has faded from his life, so his mum gives all of the father’s old things to a secondhand store.  When the things start to reappear in the house, Christopher’s mum discovers a secret about her son. An insightful and perceptive story about remembering a father.",3-6 tuổi
9255,The important things,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-important-things.jpg,5-3,020,Peter Carnavas,Sách truyện thiếu nhi,3-6 tuổi, Children's Publishing House,"Christopher’s father has faded from his life, so his mum gives all of the father’s old things to a secondhand store.  When the things start to reappear in the house, Christopher’s mum discovers a secret about her son. An insightful and perceptive story about remembering a father.",3-6 tuổi
9256,The important things,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-important-things.jpg,6-2,016,Peter Carnavas,Sách truyện thiếu nhi,3-6 tuổi, Children's Publishing House,"Christopher’s father has faded from his life, so his mum gives all of the father’s old things to a secondhand store.  When the things start to reappear in the house, Christopher’s mum discovers a secret about her son. An insightful and perceptive story about remembering a father.",3-6 tuổi
9317,The lazy scarecrow,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-lazy-scarecrow.jpg,4-2,046,Jillian Powell,Sách truyện thiếu nhi,3-6 tuổi,Picture Window Books,"After allowing the birds to eat all the seeds in his field, a lazy scarecrow realizes the consequences of his behavior when summer comes and the field is bare.",3-6 tuổi
9318,The leaves fall all around,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-leaves-fall-all-around.jpg,6-3,053,Steve Mack,Sách truyện thiếu nhi,3-6 tuổi,Scholastic,"Rookie Preschool books are bursting with alliteration, repetition, and singalong fun that encourages emergent readers to participate in the storytelling. Each book includes suggested activities linked to the story and its theme.",3-6 tuổi
9360,The little little girl with the big big voice,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-little-little-girl-with-the-big-big-voice.jpg,4-3,044,Kristen Balouch,Sách truyện thiếu nhi,3-6 tuổi,Little Simon,"In this vibrantly illustrated picture book, one loud little girl looks for a friend to play with. She searches the jungle high and low for a pal but her BIG voice scares all the animals away! One by one, an elephant, a snake and a croc quickly retreat away from her booming vocals, until at last she finds the perfect playmate-whose ""roar"" is even louder than hers!",3-6 tuổi
9371,The little red hen,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/the-little-red-hen.jpg,4-3,058,Vera Southgate,Sách truyện thiếu nhi,3-6 tuổi,Ladybird,"Fairy stories and traditional tales have a special place in the life of every child. Trust Ladybird to bring you all the best-loved titles in our famous small, hard-wearing format. This tale of The Little Red Hen is perfect for reading aloud, or for older, more confident readers to read by themselves. ",3-6 tuổi
9393,The loopy coop hens,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-loopy-coop-hens.jpg,6-2,002,Janet Morgan Stoeke,Sách truyện thiếu nhi,3-6 tuổi,Dutton Books for Young Readers,"Midge, Pip, and Dot are the hens of Loopy Coop Farm. They want to fly like Rooster Sam, but they just can't seem to do it, even though they try and try. With its surprise ending, short and punchy text, and Stoeke's hilariously expressive pictures, this is a story kids will want to return to again and again.",3-6 tuổi
9394,The loopy coop hens,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-loopy-coop-hens.jpg,6-2,003,Janet Morgan Stoeke,Sách truyện thiếu nhi,3-6 tuổi,Dutton Books for Young Readers,"Midge, Pip, and Dot are the hens of Loopy Coop Farm. They want to fly like Rooster Sam, but they just can't seem to do it, even though they try and try. With its surprise ending, short and punchy text, and Stoeke's hilariously expressive pictures, this is a story kids will want to return to again and again.",3-6 tuổi
9505,The monster returns,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-monster-returns.jpg,5-1,017,Peter McCarty,Sách truyện thiếu nhi,3-6 tuổi,Henry Holt and Co,"Jeremy thought he'd seen the last of his monster when he sent him away with a one-way bus ticket. But suddenly there's a knock on the door . . . and the monster has returned!
Jeremy tries to decide what to do. Is it possible that the monster is in need of a friend?
Peter McCarty brings his popular monster back in style, with a sequel that will have kids drawing their own little monsters in no time.",3-6 tuổi
9506,The monster returns,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-monster-returns.jpg,6-2,013,Peter McCarty,Sách truyện thiếu nhi,3-6 tuổi,Henry Holt and Co,"Jeremy thought he'd seen the last of his monster when he sent him away with a one-way bus ticket. But suddenly there's a knock on the door . . . and the monster has returned!
Jeremy tries to decide what to do. Is it possible that the monster is in need of a friend?
Peter McCarty brings his popular monster back in style, with a sequel that will have kids drawing their own little monsters in no time.",3-6 tuổi
