Chọn loại khách sạn,,Chọn Loại ks,Chọn cấp sao,,"Đánh giá, chấm điểm","Đánh giá, chấm điểm",Yêu cầu đối với loại khách sạn,H,R,M,F,Yêu cầu đối với hạng sao,1,2,3,4,5,
- Buồng đặc biệt (suite) 41 m2,1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,4,,,,1,,74
"- Buồng một giường đơn 24 m2
- Buồng một giường đôi hoặc hai giường đơn32 m2",1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,5(*),,,,,x,75
- Buồng đặc biệt (suite) 56 m2,1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,5,,,,,1,76
- Buồng đặc biệt cao cấp 100 m2,1,Ap Dung,Khong,,,,"H, R, M",1,1,1,,5,,,,,1,77
"1.8 Nhà hàng, quầy bar",,,,,,,,,,,,,,,,,,78
- 01 nhà hàng,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,2(*),,x,,,,79
- 01 nhà hàng có quầy bar,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,3(*),,,x,,,80
"- 01 nhà hàng, có phục vụ món Âu, Á",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,4(*),,,,x,,81
"- 02 nhà hàng, có phục vụ món Âu, Á",1,Ap Dung,Khong,,1,,"H, R, M, F",1,1,1,1,5(*),,,,,x,82
- Số ghế nhà hàng bằng 50 % số giường,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,2(*),,x,,,,83
- Số ghế nhà hàng bằng 60 % số giường,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,3(*),,,x,,,84
- Số ghế nhà hàng bằng 80 % số giường,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,85
- 01 quầy bar,1,Ap Dung,Khong,,,,"H, M, F",1,,1,1,4(*),,,,x,,86
- 02 quầy bar,,Khong,Khong,,,,R,,1,,,"4(*), 5(*)",,,,x,x,87
- 02 quầy bar,1,Ap Dung,Khong,,1,,"H, M, F",1,,1,1,5(*),,,,,x,88
- Phòng vệ sinh (áp dụng đối với nhà hàng tách rời sảnh đón tiếp),1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,2,,1,,,,89
- Phòng vệ sinh cho nam và nữ riêng (áp dụng đối với nhà hàng tách rời sảnh đón tiếp),1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,90
- Khu vực hút thuốc riêng,1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"2, 3, 4(*), 5(*)",,1,1,x,x,91
1.9 Khu vực bếp,,,,,,,,,,,,,,,,,,92
- Thuận tiện cho việc vận chuyển thức ăn đến nhà hàng,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,93
- Bếp,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"2(*), 3(*)",,x,x,,,94
"- Bếp Âu, Á",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,95
- Bếp bánh,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,96
- Thông gió tốt,1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,97
"- Diện tích đảm bảo quy trình sơ chế, chế biến",1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,98
"- Khu vực sơ chế và chế biến nhiệt, nguội(nóng, lạnh) được tách riêng",1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"3(*), 4(*), 5(*)",,,x,x,x,99
- Khu vực soạn chia thức ăn,1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4(*), 5(*)",,,,x,x,100
"- Phòng đệm, đảm bảo cách âm, cách nhiệt, cách mùi giữa bếp và phòng ăn",1,Ap Dung,Khong,,,,"H, R, M, F",1,1,1,1,"4, 5(*)",,,,1,x,101
"- Lối chuyển rác tách biệt, đảm bảo vệ sinh",1,Ap Dung,khuyen khich,1,1,1,"H, R, M, F",1,1,1,1,"3, 4(*), 5(*)",,,1,x,x,102
"- Có biện pháp ngăn chặn động vật, côn trùng gây hại",1,Ap Dung,Bat buoc,x,1,x,"H, R, M, F",1,1,1,1,"2(*), 3(*), 4(*),5(*)",,x,x,x,x,103
